Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Dec-20,Dec-21,YTD 2020,YTD 2021,,Black Canyon of the Gunnison NP,"6,327","7,836","1,509","341,620","308,910","-32,710", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Blue Ridge PKWY,"677,782","883,110","205,328","14,099,485","15,985,942","1,886,457", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bluestone NSR,0,0,0,"25,207","26,710","1,503", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Booker T. Washington NM,"1,244",944,-300,"22,482","18,963","-3,519", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Boston African American NHS,"1,175","3,144","1,969","89,616","239,238","149,622", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Boston Harbor Islands NRA,,,0,,,0, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Boston NHP,490,"69,380","68,890","277,170","1,101,321","824,151", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Brown v. Board of Education NHS,0,712,712,"4,064","9,113","5,049", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Bryce Canyon NP,"52,122","44,531","-7,591","1,464,655","2,104,600","639,945", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Buck Island Reef NM,243,"3,639","3,396","16,032","45,664","29,632", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Buffalo NR,"28,550","36,720","8,170","1,478,846","1,515,874","37,028", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cabrillo NM,"45,668","58,008","12,340","523,878","683,613","159,735", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Camp Nelson NM,,,0,,,0, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Canaveral NS,"141,212","163,853","22,641","1,162,950","2,218,059","1,055,109", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cane River Creole NHP,"1,532","1,283",-249,"17,430","14,985","-2,445", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Canyon de Chelly NM,"1,246","15,134","13,888","76,752","184,191","107,439", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Canyonlands NP,"24,112","22,268","-1,844","493,914","911,594","417,680", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cape Cod NS,"161,340","151,160","-10,180","4,083,505","4,017,239","-66,266", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cape Hatteras NS,"91,064","91,064",0,"2,648,522","3,190,177","541,655", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cape Krusenstern NM,"1,711","1,711",0,"11,369","12,162",793, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cape Lookout NS,"34,810","28,882","-5,928","488,331","562,461","74,130", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Capitol Reef NP,"36,656","29,717","-6,939","981,038","1,405,353","424,315", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Capulin Volcano NM,"3,274","4,899","1,625","63,335","106,623","43,288", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
